5 ,13 ,22, 28, 19, 10, 3

3, 15, 23, 27, 20, 11, 1

1, 12, 25, 30, 21, 9, 2

3, 16, 22, 27, 15, 11, 6

8, 12, 22, 22, 20, 10, 6

1, 15, 33, 26, 16, 7, 2

2, 10, 29, 30, 21, 7, 1

6, 12, 22, 27, 18, 11, 4

4, 12, 27, 23, 21, 10, 3

2, 10, 30, 29, 16, 10, 3

4, 11, 31, 26, 16, 7, 5

3, 11, 29, 26, 22, 7, 2

5, 18, 22, 21, 15, 13, 6
5.3191,12.7886,21.1988,24.2328,19.1041,10.3856,3.8922
8, 12, 20, 19, 21, 13, 7

14, 14, 20, 20, 17, 12, 3

5, 11, 16, 20, 21, 13, 14

7, 19, 21, 23, 15, 11, 4

5, 11, 16, 26, 21, 14, 7

7, 14, 21, 25, 18, 12, 3

2, 10, 25, 23, 21, 12, 7

6, 9, 27, 25, 16, 10, 7

7, 11, 22, 20, 21, 10, 9

2, 16, 22, 30, 15, 14, 1

3, 13, 14, 28, 20, 17, 5

4, 12, 30, 29, 13, 10, 2

2, 14, 25, 27, 17, 11, 4

2, 17, 22, 28, 20, 10, 1

5, 11, 17, 25, 19, 18, 5

4, 15, 27, 23, 19, 11, 1

4, 12, 18, 24, 23, 14, 5


